Date,Adj Close,Close,High,Low,Open,Volume,SP500,DEXJPUS,DEXUSEU,CBBTCUSD,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,Typical_Price,Typical_Price_Return,Returns,Daily_Return
2020-02-20,386.0,386.0,389.70001220703125,376.67999267578125,386.55999755859375,4079400.0,3373.23,111.86,1.0797,9610.05,-0.35,0.63,0.68,0.16,-0.04,0.006,-1.29646,384.1266682942708,-1.0067347090972234,-0.19000244140625,-0.0004921131965964776
2020-02-21,380.07000732421875,380.07000732421875,387.32000732421875,377.8999938964844,385.3299865722656,3930100.0,3337.75,111.74,1.0855,9697.01,-1.12,-0.05,-0.01,-0.18,0.37,0.006,-1.46533,381.7633361816406,-0.6171485722178183,-5.92999267578125,-0.01548190391204951
2020-02-25,360.0899963378906,360.0899963378906,375.6499938964844,357.7200012207031,372.0,6481200.0,3128.21,110.23,1.0868,9301.01,-3.09,-0.36,-0.68,-0.64,-0.04,0.006,-2.23971,364.4866638183594,-0.8251513617601347,-8.610015869140625,-0.02362934831302166
2020-02-26,379.239990234375,379.239990234375,382.0,365.0,366.30999755859375,8934100.0,3116.39,110.36,1.0887,8776.01,-0.53,-0.75,-1.2,-0.48,-0.18,0.006,-2.45955,375.413330078125,2.9537669345295114,19.149993896484375,0.05181523426386381
2020-02-27,371.7099914550781,371.7099914550781,391.55999755859375,370.6000061035156,371.4599914550781,10967700.0,2978.76,110.15,1.0977,8816.71,-4.22,0.72,0.05,-0.41,-0.01,0.006,-2.69014,377.9566650390625,0.6751913773088702,-7.529998779296875,-0.020055266929334792
2020-02-28,369.0299987792969,369.0299987792969,376.7699890136719,356.79998779296875,364.2099914550781,11168600.0,2954.22,108.12,1.1001,8713.16,-0.78,0.1,-0.8,0.26,-0.51,0.006,-2.93157,367.5333251953125,-2.796555094859432,-2.67999267578125,-0.007236019128974647
2020-03-03,368.7699890136719,368.7699890136719,393.5199890136719,367.3999938964844,381.0299987792969,8364600.0,3003.37,107.28,1.1175,8769.67,-2.79,0.68,-0.63,-0.44,0.33,0.006,-4.16318,376.5633239746094,0.24638839434132365,-12.279998779296875,-0.03275745439731814
2020-03-04,383.7900085449219,383.7900085449219,384.010009765625,370.510009765625,377.7699890136719,5487300.0,3130.12,107.34,1.113,8765.0,4.03,-1.22,-1.17,0.07,0.28,0.006,-4.61597,379.4366760253906,0.7601497054546158,15.02001953125,0.03992243658206984
2020-03-05,372.7799987792969,372.7799987792969,391.3999938964844,368.6400146484375,381.0,8747000.0,3023.94,106.56,1.1202,9053.56,-3.38,-0.15,-1.4,-0.9,0.06,0.006,-5.13221,377.60666910807294,-0.4834625371368695,-11.010009765625,-0.029107120232565897
2020-03-06,368.9700012207031,368.9700012207031,371.30999755859375,356.8500061035156,367.70001220703125,8147200.0,2972.37,105.31,1.1319,9162.98,-1.78,-0.21,-1.49,0.69,0.35,0.006,-5.71212,365.7100016276042,-3.201242189803555,-3.80999755859375,-0.010273086798227027
2020-03-10,364.1300048828125,364.1300048828125,364.5400085449219,347.8500061035156,356.42999267578125,7604400.0,2882.23,103.71,1.1342,7887.01,4.74,-2.38,0.8,0.53,0.06,0.006,-8.66554,358.8400065104167,2.906625002911145,17.6400146484375,0.04965703014288092
2020-03-11,349.9200134277344,349.9200134277344,362.9800109863281,344.7900085449219,358.9200134277344,6036000.0,2741.38,104.81,1.128,7957.02,-5.05,-1.04,-0.8,0.02,0.09,0.006,-9.55992,352.56334431966144,-1.7646318528235838,-14.209991455078125,-0.039806364840901054
2020-03-12,315.25,315.25,335.7200012207031,307.32000732421875,326.5,12071600.0,2480.64,105.67,1.1081,4980.0,-9.63,-1.06,-1.17,-0.33,-0.16,0.006,-10.5171,319.4300028483073,-9.869213990736458,-34.670013427734375,-0.10433862045715436
2020-03-13,336.29998779296875,336.29998779296875,336.4200134277344,307.3900146484375,330.510009765625,9458200.0,2711.02,107.15,1.1066,5592.77,8.96,-2.03,3.03,1.2,0.35,0.006,-11.5375,326.7033386230469,2.251437138822965,21.04998779296875,0.06463760760315296
2020-03-17,319.75,319.75,322.8999938964844,290.25,306.19000244140625,10013900.0,2529.19,107.41,1.0971,5361.77,5.87,0.45,-0.6,-0.59,-0.21,0.006,-15.9138,310.96666463216144,0.5330929269850238,20.910003662109375,0.0676311396057665
2020-03-18,315.4700012207031,315.4700012207031,331.5799865722656,300.0,302.3999938964844,12593600.0,2398.1,108.45,1.0833,5426.71,-5.56,-4.55,-4.69,0.09,0.06,0.006,-16.911,315.68332926432294,1.5053869788821395,-4.279998779296875,-0.013475846292513971
2020-03-19,332.0299987792969,332.0299987792969,348.510009765625,316.82000732421875,324.3299865722656,10616000.0,2409.39,110.08,1.0699,6219.99,1.31,5.72,0.82,-1.31,-1.69,0.006,-17.8588,332.4533386230469,5.175992673464691,16.55999755859375,0.051161728436999176
2020-03-20,332.8299865722656,332.8299865722656,350.489990234375,332.0,342.30999755859375,10853800.0,2304.92,111.3,1.0682,6215.4,-4.15,0.23,-0.89,-0.95,-1.13,0.006,-18.7575,338.4399922688802,1.7847285933146217,0.79998779296875,0.002406486167514821
2020-03-24,357.32000732421875,357.32000732421875,372.92999267578125,353.0299987792969,369.989990234375,11638700.0,2447.33,111.44,1.0794,6742.21,9.34,-0.29,2.37,0.47,0.17,0.006,-21.8082,361.0933329264323,1.489887752182728,-2.949981689453125,-0.008221960514710247
2020-03-25,342.3900146484375,342.3900146484375,362.0,339.1700134277344,361.0199890136719,8767200.0,2475.56,111.43,1.0835,6752.83,1.18,-0.21,1.91,-0.07,0.25,0.006,-22.4065,347.8533426920573,-3.735550297711576,-14.92999267578125,-0.04268127831476498
2020-03-26,362.989990234375,362.989990234375,363.8399963378906,341.7300109863281,344.0,7229600.0,2630.07,109.45,1.1025,6772.2,6.02,-0.51,1.09,-0.62,-0.01,0.006,-22.9376,356.18666585286456,2.3673973813492566,20.5999755859375,0.05842477775621724
2020-03-27,357.1199951171875,357.1199951171875,368.55999755859375,353.0,359.0899963378906,7948800.0,2541.47,108.16,1.1059,6320.46,-3.48,-1.1,-0.78,-1.11,0.77,0.006,-23.4017,359.55999755859375,0.9426119199238414,-5.8699951171875,-0.0163034126925945
2020-03-31,375.5,375.5,383.010009765625,366.44000244140625,367.92999267578125,9366500.0,2584.59,107.53,1.1016,6434.73,-1.44,1.53,-0.37,0.4,-0.05,0.006,-24.9646,374.98333740234375,1.3441657401622287,4.540008544921875,0.01216425415560174
2020-04-01,364.0799865722656,364.0799865722656,380.2300109863281,361.0199890136719,376.04998779296875,6672500.0,2470.5,107.05,1.0934,6719.39,-4.5,-1.99,-1.39,0.21,0.22,0.0,-25.4695,368.4433288574219,-1.7594680304751975,-11.420013427734375,-0.030884884377077704
2020-04-02,370.0799865722656,370.0799865722656,370.989990234375,360.05999755859375,364.0799865722656,4592500.0,2526.9,107.85,1.0862,6789.84,2.1,-0.97,-0.28,-0.24,0.81,0.0,-25.8715,367.04332478841144,-0.38070188030490115,6.0,0.016345575372688437
2020-04-03,361.760009765625,361.760009765625,370.8999938964844,357.510009765625,367.4700012207031,4860800.0,2488.65,108.53,1.0797,6727.99,-1.64,-1.38,-1.18,-0.23,0.37,0.0,-26.171,363.39000447591144,-1.0003242267736745,-8.319976806640625,-0.022738126675379
2020-04-07,372.2799987792969,372.2799987792969,381.3299865722656,369.3399963378906,380.0,7046400.0,2659.41,108.97,1.0886,7204.58,-0.11,0.11,2.08,0.9,-0.34,0.0,-26.5406,374.31666056315106,0.08819866367870688,-7.67999267578125,-0.020419705494459706
